City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,aklavik,68.2191,-135.0107,259.15,56,20,1.03,CA,1680384855
322,kahului,20.8947,-156.47,302.16,48,20,7.72,US,1680384855
323,taman,45.2117,36.7161,281.2,76,100,8.3,RU,1680384855
324,gidole,5.65,37.3667,287.96,73,37,0.8,ET,1680384855
325,port lincoln,-34.7333,135.8667,288.3,62,32,4.75,AU,1680384856
326,khuzhir,53.1939,107.3397,261.15,80,99,2.94,RU,1680384856
327,oberndorf,48.2905,8.5722,279.86,99,91,2.83,DE,1680384856
328,marrakesh,31.6315,-8.0083,296.19,46,0,4.63,MA,1680384647
329,sitka,57.0531,-135.33,279.09,70,75,2.57,US,1680384856
330,vila velha,-20.3297,-40.2925,300.12,78,40,0.51,BR,1680384630
331,biloela,-24.4167,150.5,294.33,65,98,2.31,AU,1680384857
332,te anau,-45.4167,167.7167,284.25,92,89,0.35,NZ,1680384857
333,chifeng,42.2683,118.9636,282.34,58,72,2.78,CN,1680384857
334,kenai,60.5544,-151.2583,276.2,44,0,6.69,US,1680384857
335,chokurdakh,70.6333,147.9167,242.87,100,99,3.22,RU,1680384858
336,orlik,52.5178,99.825,249.19,98,93,0.4,RU,1680384858
337,coolum beach,-26.5333,153.1,294.88,78,91,2.81,AU,1680384859
338,asau,46.4333,26.4,280.66,94,100,1.44,RO,1680384859
339,salalah,17.0151,54.0924,301.2,78,75,3.09,OM,1680384860
340,salinopolis,-0.6136,-47.3561,298.15,86,96,3.44,BR,1680384860
341,dingle,10.9995,122.6711,297.3,89,100,2.33,PH,1680384860
342,galle,6.0367,80.217,298.61,85,58,1.79,LK,1680384860
343,sisimiut,66.9395,-53.6735,259.7,72,16,5.11,GL,1680384860
344,mwinilunga,-11.7358,24.4293,289.93,99,100,1.15,ZM,1680384861
345,calama,-22.4667,-68.9333,297.42,41,40,10.8,CL,1680384861
346,alugan,12.2188,125.4808,298.58,82,27,2.19,PH,1680384861
347,coos bay,43.3665,-124.2179,283.32,71,100,9.26,US,1680384608
348,bisira,8.5196,-81.7115,292.23,71,75,3.78,PA,1680384862
349,port-cartier,50.0334,-66.8654,272.27,98,100,8.11,CA,1680384862
350,carutapera,-1.195,-46.02,296.57,93,100,1.25,BR,1680384862
351,kadhan,24.481,68.9859,296.84,66,0,5.13,PK,1680384862
352,ribeira do pombal,-10.8344,-38.5358,299.91,62,83,4.65,BR,1680384862
353,kirakira,-10.4544,161.9205,301.51,76,88,1.91,SB,1680384863
354,muscat,23.6139,58.5922,298.16,49,29,0.66,OM,1680384863
355,daru,-9.0763,143.2092,300.17,83,59,1.14,PG,1680384863
356,chichimila,20.6167,-88.2167,306.18,29,2,3.75,MX,1680384864
357,shihezi,44.3,86.0333,272.3,28,0,3.75,CN,1680384756
358,lebedinyy,58.5167,125.5167,254.41,100,100,1.47,RU,1680384865
359,eureka,40.8021,-124.1637,284.12,91,100,0.89,US,1680384803
360,aquiraz,-3.9014,-38.3911,301.2,78,68,2.38,BR,1680384737
361,cahir,52.3769,-7.9217,280.88,92,8,3.35,IE,1680384865
362,magan,39.9683,-3.931,288.44,63,37,8.47,ES,1680384866
363,moussoro,13.6408,16.4901,301.88,9,10,7.04,TD,1680384866
364,northam,51.0333,-4.2167,281.82,88,33,6.81,GB,1680384866
365,begunitsy,59.5855,29.3176,270.07,91,88,2.9,RU,1680384866
366,jiayuguan,39.8167,98.3,272.1,42,98,4.04,CN,1680384866
367,nizwa,22.9333,57.5333,298.34,35,36,1.59,OM,1680384866
368,el alto,-4.2714,-81.2147,302.96,77,83,3.82,PE,1680384867
369,bulungu,-4.55,18.6,295.08,94,100,1.18,CD,1680384867
370,claveria,18.6074,121.0832,297.4,89,5,0.91,PH,1680384867
371,comodoro rivadavia,-45.8667,-67.5,295.07,23,0,10.8,AR,1680384867
372,hervey bay,-25.2986,152.8535,294.82,57,100,2.79,AU,1680384617
373,tiznit,29.5833,-9.5,295.57,30,0,0.87,MA,1680384868
374,pochutla,15.7432,-96.4661,305.05,50,59,4.04,MX,1680384868
375,along,28.1667,94.7667,288.93,96,93,0.46,IN,1680384868
376,bud,39.447,-86.1758,279.12,86,100,7.41,US,1680384868
377,ternate,0.8,127.4,299.02,87,100,3.71,ID,1680384662
378,erenhot,43.6475,111.9767,285.63,54,100,8.54,CN,1680384869
379,raymondville,26.4815,-97.7831,305.21,60,99,6.12,US,1680384869
380,pasni,25.2631,63.471,297.16,84,14,3.88,PK,1680384869
381,villarrobledo,39.2699,-2.6012,288.03,53,60,9.95,ES,1680384869
382,conceicao do araguaia,-8.2578,-49.2647,296.8,93,76,1.73,BR,1680384870
383,kamenka,51.3223,42.7678,277.37,82,48,1.12,RU,1680384870
384,sistranda,63.7256,8.834,272.13,69,32,7.49,NO,1680384870
385,prince rupert,54.3161,-130.3201,277.2,93,75,9.26,CA,1680384870
386,igarka,67.4667,86.5833,268.92,95,100,11.26,RU,1680384870
387,waingapu,-9.6567,120.2641,298.33,83,81,1.18,ID,1680384871
388,hami,42.8,93.45,273.82,24,100,4.64,CN,1680384871
389,kuala terengganu,5.3302,103.1408,297.5,92,100,2.36,MY,1680384871
390,kunming,25.0389,102.7183,286.11,62,0,5.0,CN,1680384871
391,saint anthony,45.0205,-93.218,276.11,58,0,1.54,US,1680384871
392,bonthe,7.5264,-12.505,299.06,88,67,2.67,SL,1680384872
393,punta de bombon,-17.1717,-71.7931,296.71,81,89,1.61,PE,1680384872
394,shakawe,-18.3667,21.85,293.88,75,70,2.12,BW,1680384872
395,santa rosa,14.3122,121.1114,300.14,83,99,0.56,PH,1680384787
396,lompoc,34.6391,-120.4579,294.83,62,0,9.39,US,1680384873
397,mount isa,-20.7333,139.5,295.02,40,98,3.09,AU,1680384641
398,gazanjyk,39.2446,55.5154,281.37,78,96,7.67,TM,1680384874
399,kungurtug,50.5994,97.5228,257.86,97,100,0.44,RU,1680384874
400,pascagoula,30.3658,-88.5561,300.77,96,75,2.06,US,1680384874
401,imeni poliny osipenko,52.4201,136.4853,270.68,88,41,1.37,RU,1680384874
402,genhe,50.7833,121.5167,272.83,97,53,1.99,CN,1680384874
403,podgornoye,51.735,39.1496,279.27,81,100,3.0,RU,1680384875
404,lengshuitan,26.4111,111.5956,292.96,92,79,0.84,CN,1680384875
405,kapuskasing,49.4169,-82.4331,269.2,42,20,7.2,CA,1680384602
